fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
2013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,,,,,,,,4,4,4,4,4,,4,812,0,,,,,,,,,,,,0,,2900,2498,9/27/2023,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.869,0.749,0,,4,1038,0.311,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,18,3.3,0,0,199,0.06
2016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,,other,,,,,,,,4,4,4,4,4,,4,1174,0,,,,,,,,,,,,0,,4410,3637,9/27/2023,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.783,0.646,0,,4,1425,0.253,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,18,3.3,0,0,500,0.089
2020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,,other,,,,,,,0.71,4,4,4,4,4,,1,121792,284,,,,559,486,12,,60,42,1,,0,,230587,205043,9/27/2023,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.801,0.712,0,,4,103924,0.361,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",12,18,3.3,0,0,47001,0.163
2050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,,other,,,,,,,,4,4,4,4,4,,4,13328,0,,,,,,,,,,,,0,,13690,12693,9/27/2023,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.745,0.69,0,,4,6688,0.364,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,18,3.3,0,0,1806,0.098
2060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,,,,,,,,4,4,4,4,4,,4,0,0,,,,,,,,,,,,0,,,,9/27/2023,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,4,,,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,18,3.3,0,0,,
2068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,,,,,,,,4,4,4,4,4,,4,488,0,,,,,,,,,,,,0,,1383,1167,9/27/2023,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.66,0.557,0,,4,629,0.3,,819,111069,101,74,5,13,8,1,0.052,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",,10,9,0,0,345,0.165
2070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,,other,,,,,,,,4,4,4,4,4,,4,2265,0,,,,,,,,,,,,0,,2930,2636,9/27/2023,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.596,0.536,0,,4,1320,0.269,,820,547697,840,656,17,85,55,3,0.02,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,18,3.3,0,0,500,0.102
2090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,,other,,,,,,,0.68,4,4,4,4,4,,0,32476,38,,,,101,74,5,,13,8,1,,0,,69308,62227,9/27/2023,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.716,0.643,0,,4,26134,0.27,,819,111069,101,74,5,13,8,1,0.052,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",10,10,9,0,0,11894,0.123
2100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,,,,,,,,4,4,4,4,4,,4,804,0,,,,,,,,,,,,0,,1963,1817,9/27/2023,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.776,0.718,0,,4,1116,0.441,,818,46907,57,38,0,9,4,0,0.01,"Juneau City and Borough, AK - Sitka City and Borough, AK",,4,,0,0,546,0.216
2105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,,,,,,,,4,4,4,4,4,,4,947,0,,,,,,,,,,,,0,,1661,1551,9/27/2023,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.773,0.722,0,,4,1059,0.493,,818,46907,57,38,0,9,4,0,0.01,"Juneau City and Borough, AK - Sitka City and Borough, AK",,4,,0,0,497,0.231
